L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
2.33e+39,4.05e+38,2.6e+40,1.21e+40,nan,nan
2.34e+39,4.07e+38,2.61e+40,1.22e+40,nan,nan
2.34e+39,4.06e+38,2.61e+40,1.21e+40,4e+41,1.86e+41
2.41e+39,4.18e+38,2.69e+40,1.25e+40,4.12e+41,1.91e+41
