,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.291,0.263,0.311,0.831,0.807
Continuum_2,0.216,0.217,0.232,0.598,0.413
Continuum_3,0.180,0.194,0.190,0.479,0.283
