,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.024,0.021,0.022,0.044,0.075
Continuum_2,0.017,0.016,0.016,0.037,0.042
Continuum_3,0.032,0.017,0.018,0.041,0.037
