,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.012,0.014,0.020,0.014
Continuum_2,0.008,0.009,0.014,0.012
Continuum_3,0.009,0.009,0.013,0.009
