$L^c_OIII$,$\sigma_{L^c_OIII}$,$L_X$,$\sigma_{L_X}$,$L_{bol}$,$\sigma_{L_{bol}}$
1.176271761337367e+41,1.669930680417122e+40,1.4187890385654685e+42,4.267663804930243e+41,4.1516569759791435e+42,4.1827634047286095e+42
1.129918331462713e+40,6.715180117677483e+39,1.3004929303517433e+41,9.129791505996862e+40,-4.339034353051265e+42,3.683666345155878e+42
2.0389606244995913e+40,9.800143282139671e+39,2.3746358262362724e+41,1.4006787074435196e+41,-4.9941961399075786e+42,3.912689811720378e+42
6.231439487014441e+40,1.4693651360042455e+40,7.42130276275648e+41,2.7628760725815537e+41,-2.929044883991634e+42,3.4850653230256034e+42
1.7257011983529313e+40,4.2408033637924566e+39,2.003110524135361e+41,8.383829070527863e+40,-4.858887424619172e+42,2.6112084450674078e+42
