L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
1.15e+41,1.93e+40,1.39e+42,4.38e+41,2.15e+43,6.77e+42
8.15e+39,4.85e+39,9.32e+40,6.62e+40,1.43e+42,1.02e+42
1.13e+40,5.49e+39,1.3e+41,7.92e+40,1.99e+42,1.22e+42
4.87e+40,1.14e+40,5.77e+41,2.18e+41,8.89e+42,3.36e+42
1.03e+40,2.58e+39,1.18e+41,5.2e+40,1.81e+42,7.98e+41
