L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
1.19e+40,1.98e+39,1.37e+41,5.34e+40,nan,nan
6.43e+39,2.21e+39,7.32e+40,3.79e+40,1.12e+42,5.81e+41
8.79e+39,2.16e+39,1.01e+41,4.46e+40,nan,nan
8.02e+39,2.11e+39,9.17e+40,4.19e+40,nan,nan
2.17e+40,6.93e+39,2.53e+41,1.17e+41,nan,nan
