,Peak 1,Peak 2,Peak 3,Peak 4
Blue,83.263,25.144,12.473,5.815
Green,12.183,62.101,7.576,0.005
Purple,3.658,11.194,71.955,17.465
Orange,0.897,1.561,7.996,76.715
