,Peak 1,Peak 2,Peak 3,Peak 4
Blue,83.449,86.299,33.639,2.427
Green,13.024,11.905,52.068,1.555
Purple,2.989,1.516,12.197,91.779
Orange,0.538,0.280,2.095,4.240
