,Peak 1,Peak 2,Peak 3,Peak 4
Blue,75.540,76.784,32.646,2.172
Green,16.840,17.527,48.966,4.120
Purple,4.883,3.821,13.718,88.133
Orange,2.736,1.869,4.670,5.575
