,Peak 1,Peak 2,Peak 3,Peak 4
Blue,73.539,81.848,30.226,1.503
Green,18.093,13.413,51.656,2.897
Purple,5.349,3.156,13.404,91.320
Orange,3.019,1.583,4.713,4.280
