,Peak 1,Peak 2,Peak 3,Peak 4
Blue,71.243,15.720,0.229,0.002
Green,19.782,57.838,33.167,22.763
Purple,8.751,25.872,64.675,41.023
Orange,0.224,0.570,1.928,36.211
