,Peak 1,Peak 2,Peak 3,Peak 4
Blue,84.677,81.412,34.697,2.793
Green,12.145,16.369,51.496,1.829
Purple,2.693,1.873,11.814,90.496
Orange,0.485,0.346,1.993,4.882
