,Peak 1,Peak 2,Peak 3,Peak 4
Blue,89.260,75.417,5.699,7.078
Green,8.415,19.052,0.104,0.000
Purple,1.659,4.028,87.249,27.903
Orange,0.667,1.503,6.949,65.019
