,Peak 1,Peak 2,Peak 3,Peak 4
Blue,52.463,11.457,0.000,0.000
Green,18.995,42.156,17.189,12.096
Purple,28.543,46.387,82.809,58.216
Orange,0.000,0.000,0.002,29.688
