,Peak 1,Peak 2,Peak 3,Peak 4
Blue,81.931,87.773,33.551,2.034
Green,14.121,10.597,51.976,1.227
Purple,3.346,1.376,12.343,92.788
Orange,0.603,0.254,2.130,3.952
