,Peak 1,Peak 2,Peak 3,Peak 4
Blue,84.222,83.436,32.706,2.285
Green,8.851,11.951,49.825,1.774
Purple,5.387,3.627,14.307,91.114
Orange,1.540,0.986,3.162,4.827
