,Peak 1,Peak 2,Peak 3,Peak 4
Blue,38.781,5.297,0.000,0.000
Green,56.151,76.911,42.470,17.485
Purple,3.011,14.537,49.629,18.653
Orange,2.058,3.254,7.901,63.862
