,Peak 1,Peak 2,Peak 3,Peak 4
Blue,58.314,8.392,0.000,0.000
Green,16.187,45.218,16.980,11.555
Purple,25.499,46.390,83.019,54.214
Orange,0.000,0.000,0.001,34.231
