,Peak 1,Peak 2,Peak 3,Peak 4
Blue,88.270,91.812,51.514,5.009
Green,7.765,6.464,30.190,0.072
Purple,2.793,1.227,13.751,88.806
Orange,1.171,0.496,4.545,6.113
