,Peak 1,Peak 2,Peak 3,Peak 4
Blue,78.494,28.572,12.613,6.279
Green,16.116,58.403,8.432,0.008
Purple,4.350,11.436,70.923,20.865
Orange,1.039,1.588,8.032,72.847
