,SNR,Signal,Noise
Spettro_1,0.254,0.006,0.022
Spettro_2,0.735,0.020,0.027
Spettro_3,0.060,0.001,0.020
Spettro_4,5.841,0.088,0.015
Spettro_5,3.058,0.053,0.017
Spettro_6,-0.656,-0.014,0.021
Spettro_7,1.356,0.026,0.019
Spettro_8,1.171,0.020,0.017
Spettro_9,-0.140,-0.004,0.028
Spettro_10,4.725,0.146,0.031
Spettro_11,11.391,0.324,0.028
Spettro_12,7.310,0.253,0.035
Spettro_13,9.909,0.444,0.045
Spettro_14,2.570,0.109,0.042
Spettro_15,1.483,0.056,0.038
Spettro_16,1.270,0.050,0.040
Spettro_17,-1.373,-0.042,0.031
Spettro_18,2.409,0.057,0.024
Spettro_19,16.905,0.400,0.024
Spettro_20,46.683,1.043,0.022
Spettro_21,6.553,0.149,0.023
Spettro_22,2.182,0.037,0.017
Spettro_23,1.321,0.039,0.030
Spettro_24,1.397,0.029,0.021
