,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.015,0.014,0.024,0.013,0.011
Continuum_2,0.035,0.027,0.038,0.033,0.031
Continuum_3,0.014,0.012,0.024,0.017,0.010
