,SNR,Signal,Noise
Component_1,-0.111,-0.003,0.023
Component_2,0.009,0.000,0.019
Component_3,-1.343,-0.029,0.021
Component_4,-1.497,-0.026,0.017
Component_5,1.816,0.036,0.020
Component_6,0.993,0.027,0.027
Component_7,-0.845,-0.017,0.020
