,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.008,0.008,0.008,0.008,0.008,0.011,0.011
Continuum_2,0.006,0.006,0.006,0.006,0.006,0.006,0.006
Continuum_3,0.005,0.006,0.006,0.006,0.005,0.005,0.005
