,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.086,0.085,0.085,0.085,0.075,0.121,0.107
Continuum_2,0.075,0.079,0.077,0.081,0.072,0.102,0.085
Continuum_3,0.057,0.066,0.066,0.071,0.063,0.075,0.058
