,Peak 1,Peak 2,Peak 3,Peak 4
Blue,76.051,45.423,2.822,3.184
Green,18.502,43.505,3.301,3.054
Purple,3.599,7.831,87.915,28.845
Orange,1.849,3.241,5.962,64.917
