,Peak 1,Peak 2,Peak 3,Peak 4
Blue,95.410,40.167,2.871,3.326
Green,3.881,57.145,0.400,0.082
Purple,0.492,1.949,93.074,19.473
Orange,0.217,0.739,3.655,77.119
