,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.017,0.030,0.122,0.051
Continuum_2,0.016,0.024,0.099,0.051
Continuum_3,0.013,0.017,0.070,0.045
