,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,3.377,4.482,11.766,11.777,8.478
Continuum_2,5.235,5.701,13.047,13.755,10.333
Continuum_3,2.252,4.800,12.210,13.820,11.240
