,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.485,0.582,0.747,0.395
Continuum_2,0.479,0.564,0.728,0.426
Continuum_3,0.410,0.489,0.640,0.372
