,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.012,0.012,0.027,0.015
Continuum_2,0.009,0.010,0.014,0.012
Continuum_3,0.008,0.008,0.012,0.012
