,Peak 1,Peak 2,Peak 3,Peak 4
Blue,33.675,7.362,0.000,0.000
Green,60.434,72.420,43.341,17.988
Purple,3.663,16.815,48.552,19.941
Orange,2.228,3.402,8.107,62.071
