,Peak 1,Peak 2,Peak 3,Peak 4
Blue,47.138,13.981,0.001,0.000
Green,21.744,37.423,18.031,12.491
Purple,31.118,48.596,81.963,60.210
Orange,0.000,0.000,0.006,27.300
