,Peak 1,Peak 2,Peak 3,Peak 4
Blue,67.726,13.884,1.200,0.165
Green,6.915,38.339,2.339,0.002
Purple,25.359,47.778,96.461,72.632
Orange,0.000,0.000,0.000,27.201
