,Peak 1,Peak 2,Peak 3,Peak 4
Blue,61.360,17.251,1.237,0.184
Green,9.276,35.143,2.603,0.004
Purple,29.364,47.605,96.160,77.762
Orange,0.000,0.000,0.000,22.050
