,Peak 1,Peak 2,Peak 3,Peak 4
Blue,65.408,20.161,0.250,0.003
Green,23.923,53.907,33.413,23.504
Purple,10.404,25.370,64.391,44.153
Orange,0.265,0.561,1.946,32.340
