,Peak 1,Peak 2,Peak 3,Peak 4
Blue,73.857,32.374,13.071,6.630
Green,20.021,52.551,12.170,0.011
Purple,4.966,13.322,66.664,22.660
Orange,1.155,1.753,8.095,70.699
