,Peak 1,Peak 2,Peak 3,Peak 4
Blue,55.792,20.604,1.401,0.189
Green,11.636,29.778,3.808,0.005
Purple,32.573,49.619,94.791,78.403
Orange,0.000,0.000,0.000,21.403
