,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,7.630,0.393,0.051
Spettro_5,6.912,0.450,0.065
Spettro_6,21.979,1.530,0.070
Spettro_7,90.625,7.897,0.087
Spettro_8,105.409,14.414,0.137
Spettro_9,41.830,4.008,0.096
Spettro_10,8.569,0.848,0.099
Spettro_11,7.791,0.511,0.066
Spettro_12,20.878,1.943,0.093
Spettro_13,8.193,0.793,0.097
Spettro_14,4.813,0.269,0.056
Spettro_15,4.537,0.538,0.119
Spettro_16,3.992,0.256,0.064
Spettro_17,0.743,0.054,0.073
Spettro_18,0.589,0.040,0.068
Spettro_19,,,
Spettro_20,,,
