,SNR,Signal,Noise
Spettro_1,-1.138,-0.074,0.065
Spettro_2,0.299,0.021,0.071
Spettro_3,-0.444,-0.025,0.056
Spettro_4,-0.169,-0.012,0.069
Spettro_5,-0.465,-0.059,0.128
Spettro_6,0.449,0.197,0.439
Spettro_7,0.131,0.230,1.753
Spettro_8,-0.069,-0.253,3.686
Spettro_9,0.148,0.322,2.173
Spettro_10,0.024,0.014,0.577
Spettro_11,-0.516,-0.243,0.471
Spettro_12,-0.755,-1.092,1.446
Spettro_13,-1.002,-0.900,0.899
Spettro_14,-0.951,-0.267,0.281
Spettro_15,-0.674,-0.294,0.437
Spettro_16,-1.561,-0.275,0.176
Spettro_17,-1.003,-0.115,0.115
Spettro_18,-0.880,-0.081,0.092
Spettro_19,-0.309,-0.022,0.070
Spettro_20,-0.787,-0.053,0.067
