,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.9934,0.2995,0.1423,0.3336,1.4570
r_e,4.9382,3.0000,3.0000,15.6071,3.7218
n,1.3287,0.9762,2.6523,2.0199,0.6878
x_0,31.4673,40.5000,44.0336,60.1607,62.8273
