,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,7.3288,1.4904,2.1569,6.5048,6.5015
r_e,3.1851,3.0000,2.9595,6.0798,3.1195
n,1.1198,0.6680,0.1000,1.2303,0.1000
x_0,31.4673,40.0000,43.5313,60.1607,63.9323
