,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1706,0.2246,0.1795,0.2328,12.3185
r_e,9.9870,1.9278,2.9873,11.4368,0.0087
n,1.2292,0.2966,0.4462,1.3220,7.7521
x_0,30.1331,38.8738,44.0336,59.3483,63.7151
