,Peak 1,Peak 2,Peak 3,Peak 4
Blue,90.185,3.244,5.556,8.076
Green,7.647,93.991,24.834,3.953
Magenta,0.000,1.299,61.332,0.024
Orange,2.168,1.467,8.278,87.947
