,Peak 1,Peak 2,Peak 3,Peak 4
Blue,82.566,0.051,0.011,0.000
Green,16.262,99.043,49.973,24.849
Purple,0.000,0.118,47.332,0.000
Orange,1.172,0.787,2.685,75.150
