,Peak 1,Peak 2,Peak 3,Peak 4
Blue,91.364,4.007,5.380,7.826
Green,6.464,93.854,40.120,3.216
Purple,0.000,0.620,48.777,0.006
Orange,2.171,1.519,5.724,88.951
