,Peak 1,Peak 2,Peak 3,Peak 4
Blue,84.050,0.041,0.010,0.000
Green,14.828,98.901,47.243,26.049
Purple,0.000,0.266,49.821,0.000
Orange,1.122,0.792,2.926,73.951
