,Peak 1,Peak 2,Peak 3,Peak 4
Blue,93.361,5.430,9.169,10.001
Green,3.985,90.953,32.646,1.673
Purple,0.008,1.430,47.788,1.016
Orange,2.645,2.187,10.398,87.309
