,Peak 1,Peak 2,Peak 3,Peak 4
Blue,80.564,0.052,0.011,0.000
Green,18.083,98.410,51.259,28.602
Purple,0.000,0.608,45.636,0.000
Orange,1.353,0.930,3.094,71.398
