,Peak 1,Peak 2,Peak 3,Peak 4
Blue,67.747,0.164,0.124,0.041
Green,30.437,98.727,57.540,38.137
Purple,0.000,0.234,38.586,0.000
Orange,1.816,0.875,3.750,61.822
