,Peak 1,Peak 2,Peak 3,Peak 4
Blue,93.030,6.231,9.218,10.307
Green,4.244,89.457,35.085,1.783
Purple,0.010,1.802,45.216,1.162
Orange,2.716,2.510,10.481,86.748
