,Peak 1,Peak 2,Peak 3,Peak 4
Blue,91.279,3.511,5.297,7.851
Green,6.393,94.126,34.721,3.528
Purple,0.000,0.909,53.850,0.013
Orange,2.328,1.454,6.132,88.608
