,Peak 1,Peak 2,Peak 3,Peak 4
Blue,91.970,5.172,8.647,9.975
Green,5.345,90.789,20.282,1.846
Magenta,0.015,1.764,58.436,1.237
Orange,2.670,2.275,12.634,86.942
