,Peak 1,Peak 2,Peak 3,Peak 4
Blue,57.562,0.000,0.000,0.000
Green,42.323,99.789,73.680,54.806
Purple,0.000,0.000,24.976,0.000
Orange,0.115,0.211,1.344,45.194
