,Peak 1,Peak 2,Peak 3,Peak 4
Blue,53.068,0.000,0.000,0.000
Green,46.805,99.760,76.726,57.028
Purple,0.000,0.001,21.878,0.000
Orange,0.127,0.239,1.396,42.972
