,Peak 1,Peak 2,Peak 3,Peak 4
Blue,63.538,0.197,0.131,0.043
Green,34.424,98.304,60.947,39.858
Purple,0.000,0.476,35.031,0.000
Orange,2.038,1.022,3.890,60.099
