,Peak 1,Peak 2,Peak 3,Peak 4
Blue,58.410,0.000,0.000,0.000
Green,41.476,99.805,76.517,55.584
Purple,0.000,0.000,22.290,0.000
Orange,0.114,0.195,1.193,44.416
