,Peak 1,Peak 2,Peak 3,Peak 4
Blue,92.717,5.430,8.605,10.200
Green,4.695,90.953,23.202,2.102
Magenta,0.012,1.430,56.635,1.571
Orange,2.576,2.187,11.558,86.126
