,Peak 1,Peak 2,Peak 3,Peak 4
Blue,89.844,3.995,5.577,8.872
Green,7.820,92.988,29.867,4.883
Magenta,0.000,1.365,56.893,0.094
Orange,2.336,1.653,7.663,86.151
