,Peak 1,Peak 2,Peak 3,Peak 4
Blue,91.956,6.231,9.111,10.587
Green,5.255,89.457,26.082,2.259
Magenta,0.014,1.802,52.533,1.806
Orange,2.775,2.510,12.273,85.349
