,Peak 1,Peak 2,Peak 3,Peak 4
Blue,90.895,3.995,5.419,8.345
Green,6.726,92.988,37.798,3.846
Purple,0.000,1.365,50.496,0.027
Orange,2.379,1.653,6.288,87.782
