,Peak 1,Peak 2,Peak 3,Peak 4
Blue,90.962,3.511,5.357,8.602
Green,6.910,94.126,27.182,4.611
Magenta,0.000,0.909,60.121,0.050
Orange,2.128,1.454,7.339,86.737
