,Peak 1,Peak 2,Peak 3,Peak 4
Blue,67.141,0.186,0.132,0.041
Green,31.069,98.842,60.410,39.190
Purple,0.000,0.114,36.006,0.000
Orange,1.790,0.857,3.453,60.769
